words,lemmatized_words
ءماوري,ءماوري
آ,آ
آب,آب
آبأغسطس,آبأغسطس
آباء,آباء
آباتي,آب
آباداعتبر,آباداعتبر
آباغسطس,آباغسطس
آباغسطسالجديد,آباغسطسالجديد
آباغسطسكان,آباغسطسكان
آباغسطسولم,آباغسطسولم
آبو,آبو
آبولا,آبول
آبي,آبي
آت,آتي
آتت,آتى
آتي,آتي
آتيا,آتي
آتية,آتي
آثار,أثر
آثارا,أثر
آثاره,أثر
آثارها,أثر
آثر,آثر
آجر,آجر
آجلا,آجل
آجينادو,آجينادو
آخذ,آخذ
آخر,آخر
آخرأعلنت,آخرأعلنت
آخرأكد,آخرأكد
آخرا,آخر
آخرالرياض,آخرالرياض
آخران,آخر
آخرانوقال,آخرانوقال
آخربهذه,آخربهذه
آخرة,آخرة
آخردافع,آخردافع
آخردخلت,آخردخلت
آخرذكرت,آخرذكرت
آخررفض,آخررفض
آخرضمنت,آخرضمنت
آخرغير,آخرغير
آخرقال,آخرقال
آخركما,آخر
آخره,آخر
آخرها,آخر
آخرهم,آخر
آخرهما,آخر
آخرواتفق,آخرواتفق
آخرواستعاد,آخرواستعاد
آخرواعتبر,آخرواعتبر
آخروانتهى,آخروانتهى
آخروبعد,آخروبعد
آخروتأتي,آخروتأتي
آخروتوقع,آخروتوقع
آخروشاهد,آخروشاهد
آخروصار,آخروصار
آخروصرح,آخروصرح
آخروضمن,آخروضمن
آخروعند,آخروعند
آخروقال,آخروقال
آخرون,آخر
آخروهذه,آخروهذه
آخرويختار,آخرويختار
آخرويخلف,آخرويخلف
آخرى,آخرى
آخرين,آخر
آخرينعاد,آخرينعاد
آخرينوأضاف,آخرينوأضاف
آخرينوتابع,آخرينوتابع
آخرينوتخوف,آخرينوتخوف
آخرينوفي,آخرينوفي
آخرينيخوض,آخرينيخوض
آخريين,آخريين
آخن,آخن
آدام,آدام
آدان,آدان
آدم,آدم
آدمز,آدمز
آدورايز,آدورايز
آديموس,آديموس
آديمي,آديمي
آذار,آذار
آذاربطاقات,آذاربطاقات
آذارمارس,آذارمارس
آذاروبخصوص,آذاروبخصوص
آذان,أذن
آذانا,أذن
آذانهم,أذن
آذاه,آذى
آذربيجان,آذربيجان
آذى,آذى
آر,آر
آرآراوتيفي,آرآراوتيفي
آرا,آر
آراء,رأي
آراءهم,رأي
آرائه,رأي
آرائهم,رأي
آرائهن,رأي
آرانيتا,آرانيتا
آرت,آرت
آرتورو,آرتورو
آرتيبيإف,آرتيبيإف
آرثر,آرثر
آرجيل,آرجيل
